qPCR_name	experiment	biological	microbes	genotype	technical	compartment	qPCR_plate	ITS_UBQ	X16S_UBQ_ref
A5-2-42	A5	bio2	BFO	pad3	tech6	root	plate4	7.984211894	2.052130189
A5-2-45	A5	bio2	BFO	cyp71a27	tech3	root	plate4	2.117630781	0.544280902
A5-2-46	A5	bio2	BFO	cyp71a27	tech4	root	plate4	4.662822947	1.198455134
A5-2-47	A5	bio2	BFO	cyp71a27	tech5	root	plate4	1.836659316	0.472064629
A5-2-48	A5	bio2	BFO	cyp71a27	tech6	root	plate4	1.989537751	0.511357982
A5-2-51	A5	bio2	BFO	cyp71a12_a13	tech3	root	plate4	4.832075311	1.241956971
A5-2-52	A5	bio2	BFO	cyp71a12_a13	tech4	root	plate4	3.537688248	0.909269061
A5-2-53	A5	bio2	BFO	cyp71a12_a13	tech5	root	plate5	12.06585761	2.942505551
A5-2-54	A5	bio2	BFO	cyp71a12_a13	tech6	root	plate5	1.712804995	0.417702443
A5-2-57	A5	bio2	BFO	cyp79b2_b3	tech3	root	plate5	5.530289495	1.348673924
A5-2-58	A5	bio2	BFO	cyp79b2_b3	tech4	root	plate5	10.94095849	2.66817595
A5-2-59	A5	bio2	BFO	cyp79b2_b3	tech5	root	plate5	6.235245297	1.52059178
A5-2-60	A5	bio2	BFO	cyp79b2_b3	tech6	root	plate5	8.954828026	2.183817514
A5-2-61	A5	bio2	BFO	myb_triple	tech1	root	plate5	790693.3887	
A5-2-63	A5	bio2	BFO	myb_triple	tech3	root	plate5	2.45830225	0.599507159
A5-2-64	A5	bio2	BFO	myb_triple	tech4	root	plate5	1.947312729	0.474891939
A5-2-65	A5	bio2	BFO	myb_triple	tech5	root	plate5	2.428214764	0.592169712
A5-2-66	A5	bio2	BFO	myb_triple	tech6	root	plate5	4.348311097	1.060424377
A5-2-68	A5	bio2	BFO	soil	tech2	soil	plate5	2.18291E-06	
A5-2-69	A5	bio2	BFO	soil	tech3	soil	plate5	148018.5565	
A5-2-70	A5	bio2	BFO	soil	tech4	soil	plate5	1158301.174	
A5-2-71	A5	bio2	BFO	soil	tech5	soil	plate5	222943.4124	
A5-2-72	A5	bio2	BFO	soil	tech6	soil	plate5	443415.3692	
A5-3-3	A5	bio3	BFO	WT	tech3	root	plate5	13135.7675	
A5-3-4	A5	bio3	BFO	WT	tech4	root	plate5	2.018354411	0.492216902
A5-3-5	A5	bio3	BFO	WT	tech5	root	plate5	1.457462771	0.355432032
A5-3-6	A5	bio3	BFO	WT	tech6	root	plate5	4.173208953	1.017722147
A5-3-21	A5	bio3	BFO	pen2_pad3	tech3	root	plate6	1.091734038	0.339455867
A5-3-22	A5	bio3	BFO	pen2_pad3	tech4	root	plate6	1.884796183	0.586044861
A5-3-23	A5	bio3	BFO	pen2_pad3	tech5	root	plate6	0.002754813	0.000856562
A5-3-24	A5	bio3	BFO	pen2_pad3	tech6	root	plate6	3.710014664	1.153565063
A5-3-27	A5	bio3	BFO	pyk_bglu	tech3	root	plate6	2.071877191	0.644214473
A5-3-28	A5	bio3	BFO	pyk_bglu	tech4	root	plate6	3.923558564	1.219962855
A5-3-29	A5	bio3	BFO	pyk_bglu	tech5	root	plate6	1.917803785	0.596308005
A5-3-30	A5	bio3	BFO	pyk_bglu	tech6	root	plate6	1	0.31093275
A5-3-33	A5	bio3	BFO	pen2	tech3	root	plate6	3.639346397	1.131591984
A5-3-34	A5	bio3	BFO	pen2	tech4	root	plate6	1.940394018	0.603332049
A5-3-35	A5	bio3	BFO	pen2	tech5	root	plate6	3.170827998	0.98591427
A5-3-36	A5	bio3	BFO	pen2	tech6	root	plate6	5.229171391	1.625920642
A5-3-39	A5	bio3	BFO	pad3	tech3	root	plate6	2.409231667	0.749109028
A5-3-40	A5	bio3	BFO	pad3	tech4	root	plate6	10.81689535	3.363327022
A5-3-41	A5	bio3	BFO	pad3	tech5	root	plate7	6.039626435	2.462406255
A5-3-42	A5	bio3	BFO	pad3	tech6	root	plate7	2.608303286	1.063427084
A5-3-45	A5	bio3	BFO	cyp71a27	tech3	root	plate7	2.817329678	1.148648893
A5-3-46	A5	bio3	BFO	cyp71a27	tech4	root	plate7	2.626721914	1.070936512
A5-3-47	A5	bio3	BFO	cyp71a27	tech5	root	plate7	2.122404504	0.865322083
A5-3-48	A5	bio3	BFO	cyp71a27	tech6	root	plate7	2.805987989	1.144024792
A5-3-51	A5	bio3	BFO	cyp71a12_a13	tech3	root	plate7	2.308276666	0.941103719
A5-3-52	A5	bio3	BFO	cyp71a12_a13	tech4	root	plate7	1.546357317	0.630462822
A5-3-53	A5	bio3	BFO	cyp71a12_a13	tech5	root	plate7	1.004574901	0.409573596
A5-3-54	A5	bio3	BFO	cyp71a12_a13	tech6	root	plate7	2.847966464	1.161139767
A5-3-57	A5	bio3	BFO	cyp79b2_b3	tech3	root	plate7	5.56909027	2.270564721
A5-3-58	A5	bio3	BFO	cyp79b2_b3	tech4	root	plate7	11.2146309	4.572298894
A5-3-63	A5	bio3	BFO	myb_triple	tech3	root	plate7	2.514836256	1.025319793
A5-3-60	A5	bio3	BFO	cyp79b2_b3	tech6	root	plate7	3.295746279	1.343703346
A5-3-59	A5	bio3	BFO	cyp79b2_b3	tech5	root	plate7	5.977308877	2.436998865
A5-3-64	A5	bio3	BFO	myb_triple	tech4	root	plate7	3.811213733	1.553863742
A5-3-65	A5	bio3	BFO	myb_triple	tech5	root	plate7	1	0.407708371
A5-3-66	A5	bio3	BFO	myb_triple	tech6	root	plate7	1.631667567	0.665244526
A5-3-67	A5	bio3	BFO	soil	tech1	soil	plate7	1	0.407708371
A5-3-68	A5	bio3	BFO	soil	tech2	soil	plate7	322751.7985	
A5-3-69	A5	bio3	BFO	soil	tech3	soil	plate7	17591.20942	
A5-3-70	A5	bio3	BFO	soil	tech4	soil	plate8	139440.4555	
A5-3-71	A5	bio3	BFO	soil	tech5	soil	plate8	1765399.675	
A5-3-72	A5	bio3	BFO	soil	tech6	soil	plate8	564836.174	
