experiment	biological	genotype	genotype_barplot	treatment	genotype_treatment	genotype_treatment_biological	flowpot_number	plant_no	FW_g
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp1	pl4	0.0153
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp2	pl1	0.0015
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp2	pl2	0.0655
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp2	pl3	0.0066
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp2	pl4	0.0091
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp3	pl1	0.0322
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp3	pl2	0.0209
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp3	pl3	0.0343
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp3	pl4	
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp4	pl1	0.0363
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp4	pl2	0.0163
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp4	pl3	0.0109
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp4	pl4	0.0318
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp5	pl1	0.0402
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp5	pl2	0.0724
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp5	pl3	0.093
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp5	pl4	0.0216
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp6	pl1	0.0561
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp6	pl2	0.0384
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp6	pl3	0.0167
FP_gluco	bio1	WT	aWT	BFO	WT_BFO	WT_BFO_bio1	fp6	pl4	0.0714
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp1	pl1	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp1	pl2	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp1	pl3	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp1	pl4	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp2	pl1	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp2	pl2	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp2	pl3	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp2	pl4	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp3	pl1	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp3	pl2	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp3	pl3	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp3	pl4	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp4	pl1	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp4	pl2	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp4	pl3	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp4	pl4	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp5	pl1	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp5	pl2	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp5	pl3	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp5	pl4	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp6	pl1	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp6	pl2	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp6	pl3	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	sterile	pen2_cyp71a12_a13_sterile	pen2_cyp71a12_a13_sterile_bio1	fp6	pl4	
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp1	pl1	0.0136
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp1	pl2	0.0147
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp1	pl3	0.0049
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp1	pl4	0.013
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp2	pl1	0.0298
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp2	pl2	0.0075
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp2	pl3	0.012
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp2	pl4	0.0192
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp3	pl1	0.0191
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp3	pl2	0.0206
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp3	pl3	0.0214
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp3	pl4	0.0097
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp4	pl1	0.0516
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp4	pl2	0.0557
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp4	pl3	0.0231
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp4	pl4	0.0293
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp5	pl1	0.0171
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp5	pl2	0.018
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp5	pl3	0.0426
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp5	pl4	0.0274
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp6	pl1	0.0474
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp6	pl2	0.0398
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp6	pl3	0.022
FP_gluco	bio1	pen2_cyp71a12_a13	dpen2_cyp71a12_a13	BFO	pen2_cyp71a12_a13_BFO	pen2_cyp71a12_a13_BFO_bio1	fp6	pl4	0.0514
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp1	pl1	0.016
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp1	pl2	0.0419
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp1	pl3	0.0288
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp1	pl4	
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp2	pl1	0.0218
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp2	pl2	0.0265
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp2	pl3	0.0176
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp2	pl4	0.013
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp3	pl1	0.0329
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp3	pl2	0.0487
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp3	pl3	0.0239
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp3	pl4	0.0235
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp4	pl1	0.0325
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp4	pl2	0.0166
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp4	pl3	0.0131
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp4	pl4	0.0287
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp5	pl1	0.0274
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp5	pl2	0.027
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp5	pl3	0.0279
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp5	pl4	0.0178
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp6	pl1	0.0181
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp6	pl2	0.0176
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp6	pl3	0.0042
FP_gluco	bio1	quintuple	cquintuple	sterile	quintuple_sterile	quintuple_sterile_bio1	fp6	pl4	0.022
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp1	pl1	0.0131
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp1	pl2	0.0276
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp1	pl3	0.0224
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp1	pl4	0.0541
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp2	pl1	0.0139
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp2	pl2	0.0059
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp2	pl3	0.0144
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp2	pl4	0.0222
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp3	pl1	0.0276
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp3	pl2	0.0482
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp3	pl3	0.0412
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp3	pl4	0.0633
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp4	pl1	0.0111
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp4	pl2	0.0509
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp4	pl3	0.0042
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp4	pl4	0.013
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp5	pl1	0.0231
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp5	pl2	0.0315
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp5	pl3	0.0411
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp5	pl4	0.065
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp6	pl1	0.0138
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp6	pl2	0.0291
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp6	pl3	0.018
FP_gluco	bio1	quintuple	cquintuple	BFO	quintuple_BFO	quintuple_BFO_bio1	fp6	pl4	0.0264
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp1	pl1	0.0517
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp1	pl2	0.0126
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp1	pl3	0.0111
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp1	pl4	0.0164
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp2	pl1	0.0265
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp2	pl2	0.025
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp2	pl3	0.0058
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp2	pl4	0.0144
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp3	pl1	0.0146
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp3	pl2	0.0142
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp3	pl3	0.0198
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp3	pl4	0.0048
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp4	pl1	0.027
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp4	pl2	0.0105
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp4	pl3	0.015
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp4	pl4	0.0228
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp5	pl1	0.028
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp5	pl2	0.0206
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp5	pl3	0.0211
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp5	pl4	0.01
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp6	pl1	0.0215
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp6	pl2	0.0247
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp6	pl3	0.0094
FP_gluco	bio1	pen2_pad3	fpen2_pad3	sterile	pen2_pad3_sterile	pen2_pad3_sterile_bio1	fp6	pl4	0.0118
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp1	pl1	0.0297
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp1	pl2	0.0417
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp1	pl3	0.0194
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp1	pl4	0.0085
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp2	pl1	0.014
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp2	pl2	0.0172
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp2	pl3	0.0444
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp2	pl4	0.0052
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp3	pl1	0.0628
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp3	pl2	0.0262
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp3	pl3	0.0108
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp3	pl4	0.0357
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp4	pl1	0.0272
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp4	pl2	0.0315
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp4	pl3	0.0278
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp4	pl4	0.0523
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp5	pl1	0.0283
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp5	pl2	0.0245
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp5	pl3	0.0194
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp5	pl4	0.0276
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp6	pl1	0.0402
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp6	pl2	0.0133
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp6	pl3	0.0214
FP_gluco	bio1	pen2_pad3	fpen2_pad3	BFO	pen2_pad3_BFO	pen2_pad3_BFO_bio1	fp6	pl4	0.0111
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp1	pl1	0.0269
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp1	pl2	0.0189
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp1	pl3	0.0123
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp1	pl4	0.0158
FP_gluco	bio1	pyk_bglu	jpyk_bglu	sterile	pyk_bglu_sterile	pyk_bglu_sterile_bio1	fp2	pl1	0.0423
